external_question_id,specialty_raw,normalized_specialty_slug,normalized_specialty_title,topic_raw,normalized_topic_label,normalized_topic_slug,mapped_specialty_slug,mapped_curriculum_node_slug,canonical_topic_node_id,mapping_confidence,needs_review,review_reason,suggested_action,mapping_method,review_override_reason,review_group_key,row_number
OBQ04-109,Basic Science,basic-science,Basic Science,Fracture Healing,Fracture Healing,fracture-healing,basic-science,basic-science-fracture-healing,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::fracture-healing::accepted,12
OBQ04-11,Trauma,trauma,Trauma,Amputations,Amputations,amputations,trauma,trauma-amputations,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::amputations::accepted,13
OBQ04-110,Pediatrics,pediatrics,Pediatrics,Distal Femoral Physeal Fractures - Pediatric,Distal Femoral Physeal Fractures - Pediatric,distal-femoral-physeal-fractures-pediatric,pediatrics,pediatrics-distal-femoral-physeal-fractures-pediatric,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::distal-femoral-physeal-fractures-pediatric::accepted,14
OBQ04-111,Trauma,trauma,Trauma,Humeral Shaft Fractures,Humeral Shaft Fractures,humeral-shaft-fractures,trauma,trauma-humeral-shaft-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::humeral-shaft-fractures::accepted,15
OBQ04-112,Foot & Ankle,foot-ankle,Foot & Ankle,Foot Muscle Forces & Deformities,Foot Muscle Forces & Deformities,foot-muscle-forces-and-deformities,foot-ankle,foot-ankle-foot-muscle-forces-and-deformities,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::foot-ankle::foot-muscle-forces-and-deformities::accepted,16
OBQ04-113,Knee & Sports,knee-sports,Knee & Sports,Proximal Tib-Fib Dislocation,Proximal Tib - Fib Dislocation,proximal-tib-fib-dislocation,knee-sports,knee-sports-proximal-tib-fib-dislocation,,0.980,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::knee-sports::proximal-tib-fib-dislocation::accepted,17
OBQ04-114,Trauma,trauma,Trauma,Tibial Shaft Fractures,Tibial Shaft Fractures,tibial-shaft-fractures,trauma,trauma-tibial-shaft-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::tibial-shaft-fractures::accepted,18
OBQ04-115,Pediatrics,pediatrics,Pediatrics,Congenital Vertical Talus,Congenital Vertical Talus,congenital-vertical-talus,pediatrics,pediatrics-congenital-vertical-talus,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::congenital-vertical-talus::accepted,19
OBQ04-116,Pathology,pathology,Pathology,Ewing's Sarcoma,Ewing's Sarcoma,ewing-s-sarcoma,pathology,pathology-ewing-s-sarcoma,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::ewing-s-sarcoma::accepted,20
OBQ04-117,Basic Science,basic-science,Basic Science,Ethics in Orthopaedic Practice,Ethics in Orthopaedic Practice,ethics-in-orthopaedic-practice,basic-science,basic-science-ethics-in-orthopaedic-practice,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::ethics-in-orthopaedic-practice::accepted,21
OBQ04-118,Trauma,trauma,Trauma,Subtrochanteric Fractures,Subtrochanteric Fractures,subtrochanteric-fractures,trauma,trauma-subtrochanteric-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::subtrochanteric-fractures::accepted,22
OBQ04-119,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Scapular Winging,Scapular Winging,scapular-winging,shoulder-elbow,shoulder-elbow-scapular-winging,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::shoulder-elbow::scapular-winging::accepted,23
OBQ04-12,Pediatrics,pediatrics,Pediatrics,Supracondylar Fracture - Pediatric,Supracondylar Fracture - Pediatric,supracondylar-fracture-pediatric,pediatrics,pediatrics-supracondylar-fracture-pediatric,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::supracondylar-fracture-pediatric::accepted,24
OBQ04-120,Hand,hand,Hand,Thumb Hypoplasia,Thumb Hypoplasia,thumb-hypoplasia,hand,hand-thumb-hypoplasia,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::hand::thumb-hypoplasia::accepted,25
OBQ04-121,Recon,recon,Recon,Prosthetic Joint Infection,Prosthetic Joint Infection,prosthetic-joint-infection,recon,recon-prosthetic-joint-infection,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::prosthetic-joint-infection::accepted,26
OBQ04-122,Spine,spine,Spine,Spine Surgical Site Infections,Spine Surgical Site Infections,spine-surgical-site-infections,spine,spine-spine-surgical-site-infections,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::spine-surgical-site-infections::accepted,27
OBQ04-124,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Total Shoulder Arthroplasty,Total Shoulder Arthroplasty,total-shoulder-arthroplasty,shoulder-elbow,shoulder-elbow-total-shoulder-arthroplasty,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::shoulder-elbow::total-shoulder-arthroplasty::accepted,28
OBQ04-125,Basic Science,basic-science,Basic Science,Statistic Definitions,Statistic Definitions,statistic-definitions,basic-science,basic-science-statistic-definitions,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::statistic-definitions::accepted,29
OBQ04-126,Trauma,trauma,Trauma,Talar Neck Fractures,Talar Neck Fractures,talar-neck-fractures,trauma,trauma-talar-neck-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::talar-neck-fractures::accepted,30
OBQ04-127,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Suprascapular Neuropathy,Suprascapular Neuropathy,suprascapular-neuropathy,shoulder-elbow,shoulder-elbow-suprascapular-neuropathy,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::shoulder-elbow::suprascapular-neuropathy::accepted,31
OBQ04-13,Pathology,pathology,Pathology,Hemangioma Soft Tissue,Hemangioma Soft Tissue,hemangioma-soft-tissue,pathology,pathology-hemangioma-soft-tissue,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::hemangioma-soft-tissue::accepted,32
OBQ04-133,Hand,hand,Hand,Dupuytren's Disease,Dupuytren's Disease,dupuytren-s-disease,hand,hand-dupuytren-s-disease,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::hand::dupuytren-s-disease::accepted,33
OBQ04-135,Spine,spine,Spine,Incomplete Spinal Cord Injuries,Incomplete Spinal Cord Injuries,incomplete-spinal-cord-injuries,spine,spine-incomplete-spinal-cord-injuries,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::incomplete-spinal-cord-injuries::accepted,34
OBQ04-136,Foot & Ankle,foot-ankle,Foot & Ankle,Achilles Tendon Rupture,Achilles Tendon Rupture,achilles-tendon-rupture,foot-ankle,foot-ankle-achilles-tendon-rupture,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::foot-ankle::achilles-tendon-rupture::accepted,35
OBQ04-137.1,Trauma,trauma,Trauma,Geriatric Patient Trauma,Geriatric Patient Trauma,geriatric-patient-trauma,trauma,trauma-geriatric-patient-trauma,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::geriatric-patient-trauma::accepted,36
OBQ04-138,Trauma,trauma,Trauma,Olecranon Fractures,Olecranon Fractures,olecranon-fractures,trauma,trauma-olecranon-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::olecranon-fractures::accepted,37
OBQ04-139,Spine,spine,Spine,Synovial Facet Cyst,Synovial Facet Cyst,synovial-facet-cyst,spine,spine-synovial-facet-cyst,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::synovial-facet-cyst::accepted,38
OBQ04-14,Trauma,trauma,Trauma,Femoral Neck Fractures,Femoral Neck Fractures,femoral-neck-fractures,trauma,trauma-femoral-neck-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::femoral-neck-fractures::accepted,39
OBQ04-140,Pediatrics,pediatrics,Pediatrics,Supracondylar Fracture - Pediatric,Supracondylar Fracture - Pediatric,supracondylar-fracture-pediatric,pediatrics,pediatrics-supracondylar-fracture-pediatric,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::supracondylar-fracture-pediatric::accepted,40
OBQ04-141,Trauma,trauma,Trauma,"Evaluation, Resuscitation & DCO","Evaluation, Resuscitation & DCO",evaluation-resuscitation-and-dco,trauma,trauma-evaluation-resuscitation-and-dco,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::evaluation-resuscitation-and-dco::accepted,41
OBQ04-142,Recon,recon,Recon,THA Sciatic Nerve Palsy,THA Sciatic Nerve Palsy,tha-sciatic-nerve-palsy,recon,recon-tha-sciatic-nerve-palsy,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tha-sciatic-nerve-palsy::accepted,42
OBQ04-143,Recon,recon,Recon,TKA Prosthesis Design,TKA Prosthesis Design,tka-prosthesis-design,recon,recon-tka-prosthesis-design,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-prosthesis-design::accepted,43
OBQ04-144,Spine,spine,Spine,Adolescent Idiopathic Scoliosis,Adolescent Idiopathic Scoliosis,adolescent-idiopathic-scoliosis,spine,spine-adolescent-idiopathic-scoliosis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::adolescent-idiopathic-scoliosis::accepted,44
OBQ04-145,Trauma,trauma,Trauma,Talar Neck Fractures,Talar Neck Fractures,talar-neck-fractures,trauma,trauma-talar-neck-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::talar-neck-fractures::accepted,45
OBQ04-146,Basic Science,basic-science,Basic Science,Bone Signaling & RANKL,Bone Signaling & RANKL,bone-signaling-and-rankl,basic-science,basic-science-bone-signaling-and-rankl,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::bone-signaling-and-rankl::accepted,46
OBQ04-147,Basic Science,basic-science,Basic Science,Fat Embolism Syndrome,Fat Embolism Syndrome,fat-embolism-syndrome,basic-science,basic-science-fat-embolism-syndrome,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::fat-embolism-syndrome::accepted,47
OBQ04-148,Knee & Sports,knee-sports,Knee & Sports,Posterolateral Corner Injury,Posterolateral Corner Injury,posterolateral-corner-injury,knee-sports,knee-sports-posterolateral-corner-injury,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::knee-sports::posterolateral-corner-injury::accepted,48
OBQ04-149,Basic Science,basic-science,Basic Science,Clinical Trial Design,Clinical Trial Design,clinical-trial-design,basic-science,basic-science-clinical-trial-design,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::clinical-trial-design::accepted,49
OBQ04-15,Recon,recon,Recon,TKA Patellofemoral Alignment,TKA Patellofemoral Alignment,tka-patellofemoral-alignment,recon,recon-tka-patellofemoral-alignment,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-patellofemoral-alignment::accepted,50
OBQ04-150,Pathology,pathology,Pathology,Metastatic Disease Extremity,Metastatic Disease Extremity,metastatic-disease-extremity,pathology,pathology-metastatic-disease-extremity,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::metastatic-disease-extremity::accepted,51
OBQ04-151,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Distal Biceps Avulsion,Distal Biceps Avulsion,distal-biceps-avulsion,shoulder-elbow,shoulder-elbow-distal-biceps-avulsion,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::shoulder-elbow::distal-biceps-avulsion::accepted,52
OBQ04-152,Hand,hand,Hand,Poland Syndrome,Poland Syndrome,poland-syndrome,hand,hand-poland-syndrome,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::hand::poland-syndrome::accepted,53
OBQ04-153,Trauma,trauma,Trauma,Subtalar Dislocations,Subtalar Dislocations,subtalar-dislocations,trauma,trauma-subtalar-dislocations,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::subtalar-dislocations::accepted,54
OBQ04-154,Spine,spine,Spine,Spinal Cord Injuries,Spinal Cord Injuries,spinal-cord-injuries,spine,spine-spinal-cord-injuries,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::spinal-cord-injuries::accepted,55
OBQ04-155,Recon,recon,Recon,TKA Patellofemoral Alignment,TKA Patellofemoral Alignment,tka-patellofemoral-alignment,recon,recon-tka-patellofemoral-alignment,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-patellofemoral-alignment::accepted,56
OBQ04-156,Spine,spine,Spine,Cervical Myelopathy,Cervical Myelopathy,cervical-myelopathy,spine,spine-cervical-myelopathy,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::cervical-myelopathy::accepted,57
OBQ04-157,Trauma,trauma,Trauma,Capitellum Fractures,Capitellum Fractures,capitellum-fractures,trauma,trauma-capitellum-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::capitellum-fractures::accepted,58
OBQ04-158,Trauma,trauma,Trauma,Pelvic Ring Fractures,Pelvic Ring Fractures,pelvic-ring-fractures,trauma,trauma-pelvic-ring-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::pelvic-ring-fractures::accepted,59
OBQ04-159,Pediatrics,pediatrics,Pediatrics,Hip Septic Arthritis - Pediatric,Hip Septic Arthritis - Pediatric,hip-septic-arthritis-pediatric,pediatrics,pediatrics-hip-septic-arthritis-pediatric,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::hip-septic-arthritis-pediatric::accepted,60
OBQ04-16,Spine,spine,Spine,Degenerative Spondylolisthesis,Degenerative Spondylolisthesis,degenerative-spondylolisthesis,spine,spine-degenerative-spondylolisthesis,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::degenerative-spondylolisthesis::accepted,61
OBQ04-160,Recon,recon,Recon,THA Acetabular Screw Fixation,THA Acetabular Screw Fixation,tha-acetabular-screw-fixation,recon,recon-tha-acetabular-screw-fixation,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tha-acetabular-screw-fixation::accepted,62
OBQ04-161,Knee & Sports,knee-sports,Knee & Sports,PCL Injury,PCL Injury,pcl-injury,knee-sports,knee-sports-pcl-injury,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::knee-sports::pcl-injury::accepted,63
OBQ04-162,Anatomy,anatomy,Anatomy,Abductor digiti minimi,Abductor digiti minimi,abductor-digiti-minimi,anatomy,anatomy-abductor-digiti-minimi,,0.980,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::anatomy::abductor-digiti-minimi::accepted,64
OBQ04-163,Trauma,trauma,Trauma,Calcaneus Fractures,Calcaneus Fractures,calcaneus-fractures,trauma,trauma-calcaneus-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::calcaneus-fractures::accepted,65
OBQ04-164,Pathology,pathology,Pathology,Conventional Intramedullary Osteosarcoma,Conventional Intramedullary Osteosarcoma,conventional-intramedullary-osteosarcoma,pathology,pathology-conventional-intramedullary-osteosarcoma,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::conventional-intramedullary-osteosarcoma::accepted,66
OBQ04-165,Pediatrics,pediatrics,Pediatrics,Slipped Capital Femoral Epiphysis (SCFE),Slipped Capital Femoral Epiphysis (SCFE),slipped-capital-femoral-epiphysis-scfe,pediatrics,pediatrics-slipped-capital-femoral-epiphysis-scfe,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::slipped-capital-femoral-epiphysis-scfe::accepted,67
OBQ04-166,Pathology,pathology,Pathology,Chondrosarcoma,Chondrosarcoma,chondrosarcoma,pathology,pathology-chondrosarcoma,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::chondrosarcoma::accepted,68
OBQ04-167.1,Spine,spine,Spine,Lumbar Disc Herniation,Lumbar Disc Herniation,lumbar-disc-herniation,spine,spine-lumbar-disc-herniation,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::lumbar-disc-herniation::accepted,69
OBQ04-168,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Neuropathic (Charcot) Joint Shoulder,Neuropathic (Charcot) Joint Shoulder,neuropathic-charcot-joint-shoulder,shoulder-elbow,shoulder-elbow-neuropathic-charcot-joint-shoulder,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::shoulder-elbow::neuropathic-charcot-joint-shoulder::accepted,70
OBQ04-169,Pathology,pathology,Pathology,Paget's Disease,Paget's Disease,paget-s-disease,pathology,pathology-paget-s-disease,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::paget-s-disease::accepted,71
OBQ04-17,Pediatrics,pediatrics,Pediatrics,Kohler's Disease,Kohler's Disease,kohler-s-disease,pediatrics,pediatrics-kohler-s-disease,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::kohler-s-disease::accepted,72
OBQ04-170,Trauma,trauma,Trauma,"Evaluation, Resuscitation & DCO","Evaluation, Resuscitation & DCO",evaluation-resuscitation-and-dco,trauma,trauma-evaluation-resuscitation-and-dco,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::evaluation-resuscitation-and-dco::accepted,73
OBQ04-171,Pediatrics,pediatrics,Pediatrics,Radial Head and Neck Fractures - Pediatric,Radial Head and Neck Fractures - Pediatric,radial-head-and-neck-fractures-pediatric,pediatrics,pediatrics-radial-head-and-neck-fractures-pediatric,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::radial-head-and-neck-fractures-pediatric::accepted,74
OBQ04-172,Pathology,pathology,Pathology,Synovial Sarcoma,Synovial Sarcoma,synovial-sarcoma,pathology,pathology-synovial-sarcoma,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::synovial-sarcoma::accepted,75
OBQ04-174,Knee & Sports,knee-sports,Knee & Sports,ACL Tear,ACL Tear,acl-tear,knee-sports,knee-sports-acl-tear,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::knee-sports::acl-tear::accepted,77
OBQ04-175,Pediatrics,pediatrics,Pediatrics,Developmental Dysplasia the Hip (DDH),Developmental Dysplasia the Hip (DDH),developmental-dysplasia-the-hip-ddh,pediatrics,pediatrics-developmental-dysplasia-the-hip-ddh,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::developmental-dysplasia-the-hip-ddh::accepted,78
OBQ04-176,Spine,spine,Spine,Atlas Fractures & Transverse Ligament Injuries,Atlas Fractures & Transverse Ligament Injuries,atlas-fractures-and-transverse-ligament-injuries,spine,spine-atlas-fractures-and-transverse-ligament-injuries,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::atlas-fractures-and-transverse-ligament-injuries::accepted,79
OBQ04-178,Pathology,pathology,Pathology,Malignant Peripheral Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,malignant-peripheral-nerve-sheath-tumor,pathology,pathology-malignant-peripheral-nerve-sheath-tumor,,0.980,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::malignant-peripheral-nerve-sheath-tumor::accepted,80
OBQ04-179,Pediatrics,pediatrics,Pediatrics,Congenital Pseudoarthrosis Clavicle,Congenital Pseudoarthrosis Clavicle,congenital-pseudoarthrosis-clavicle,pediatrics,pediatrics-congenital-pseudoarthrosis-clavicle,,0.980,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::congenital-pseudoarthrosis-clavicle::accepted,81
OBQ04-18,Foot & Ankle,foot-ankle,Foot & Ankle,Posterior Tibial Tendon Insufficiency (PTTI),Posterior Tibial Tendon Insufficiency (PTTI),posterior-tibial-tendon-insufficiency-ptti,foot-ankle,foot-ankle-posterior-tibial-tendon-insufficiency-ptti,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::foot-ankle::posterior-tibial-tendon-insufficiency-ptti::accepted,82
OBQ04-180,Basic Science,basic-science,Basic Science,Fracture Healing,Fracture Healing,fracture-healing,basic-science,basic-science-fracture-healing,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::fracture-healing::accepted,83
OBQ04-181,Basic Science,basic-science,Basic Science,Material Properties,Material Properties,material-properties,basic-science,basic-science-material-properties,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::material-properties::accepted,84
OBQ04-182,Recon,recon,Recon,TKA Sagittal Plane Balancing,TKA Sagittal Plane Balancing,tka-sagittal-plane-balancing,recon,recon-tka-sagittal-plane-balancing,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-sagittal-plane-balancing::accepted,85
OBQ04-183,Trauma,trauma,Trauma,Femoral Neck Fractures,Femoral Neck Fractures,femoral-neck-fractures,trauma,trauma-femoral-neck-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::femoral-neck-fractures::accepted,86
OBQ04-184,Pathology,pathology,Pathology,Soft Tissue Sarcoma,Soft Tissue Sarcoma,soft-tissue-sarcoma,pathology,pathology-soft-tissue-sarcoma,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::soft-tissue-sarcoma::accepted,87
OBQ04-185,Pathology,pathology,Pathology,Chondrosarcoma,Chondrosarcoma,chondrosarcoma,pathology,pathology-chondrosarcoma,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::chondrosarcoma::accepted,88
OBQ04-186,Pediatrics,pediatrics,Pediatrics,Femoral Shaft Fractures - Pediatric,Femoral Shaft Fractures - Pediatric,femoral-shaft-fractures-pediatric,pediatrics,pediatrics-femoral-shaft-fractures-pediatric,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::femoral-shaft-fractures-pediatric::accepted,89
OBQ04-187,Basic Science,basic-science,Basic Science,Embryology,Embryology,embryology,basic-science,basic-science-embryology,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::embryology::accepted,90
OBQ04-188,Trauma,trauma,Trauma,Femoral Shaft Fractures,Femoral Shaft Fractures,femoral-shaft-fractures,trauma,trauma-femoral-shaft-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::femoral-shaft-fractures::accepted,91
OBQ04-19,Knee & Sports,knee-sports,Knee & Sports,ACL Tear,ACL Tear,acl-tear,knee-sports,knee-sports-acl-tear,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::knee-sports::acl-tear::accepted,92
OBQ04-190,Basic Science,basic-science,Basic Science,Antibiotic Classification & Mechanism,Antibiotic Classification & Mechanism,antibiotic-classification-and-mechanism,basic-science,basic-science-antibiotic-classification-and-mechanism,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::antibiotic-classification-and-mechanism::accepted,93
OBQ04-191,Basic Science,basic-science,Basic Science,Complex Regional Pain Syndrome (CRPS),Complex Regional Pain Syndrome (CRPS),complex-regional-pain-syndrome-crps,basic-science,basic-science-complex-regional-pain-syndrome-crps,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::basic-science::complex-regional-pain-syndrome-crps::accepted,94
OBQ04-192,Pediatrics,pediatrics,Pediatrics,Femoral Shaft Fractures - Pediatric,Femoral Shaft Fractures - Pediatric,femoral-shaft-fractures-pediatric,pediatrics,pediatrics-femoral-shaft-fractures-pediatric,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::femoral-shaft-fractures-pediatric::accepted,95
OBQ04-194,Trauma,trauma,Trauma,Tibial Shaft Fractures,Tibial Shaft Fractures,tibial-shaft-fractures,trauma,trauma-tibial-shaft-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::tibial-shaft-fractures::accepted,96
